subj_idx,valence,condition,CR,hit,FA,miss,hitR,faR,dprime
16,triangle,image_first,38,40,2,0,0.9875,0.05,3.8862563545564193
16,triangle,simultaneous,39,40,1,0,0.9875,0.025,4.201366712145
16,triangle,word_first,38,38,1,0,0.9868421052631579,0.02564102564102564,4.170631585277724
17,circle,image_first,33,39,7,1,0.975,0.175,2.894553275613534
17,circle,simultaneous,36,31,3,9,0.775,0.07692307692307693,2.1814918986333165
17,circle,word_first,37,38,2,2,0.95,0.05128205128205128,3.27740159279782
17,square,image_first,35,33,4,7,0.825,0.10256410256410256,2.201665042339924
17,square,simultaneous,38,26,2,13,0.6666666666666666,0.05,2.07558092624693
17,square,word_first,36,37,4,3,0.925,0.1,2.7210830364830567
17,triangle,image_first,38,36,2,4,0.9,0.05,2.9264051924960732
17,triangle,simultaneous,36,40,4,0,0.9875,0.1,3.5229542931495472
17,triangle,word_first,36,36,3,3,0.9230769230769231,0.07692307692307693,2.852153744545695
18,circle,image_first,38,36,2,4,0.9,0.05,2.9264051924960732
18,circle,simultaneous,37,36,3,4,0.9,0.075,2.7210830364830567
18,circle,word_first,39,38,1,2,0.95,0.025,3.6048176114915256
18,square,image_first,39,38,1,2,0.95,0.025,3.6048176114915256
18,square,simultaneous,35,35,5,5,0.875,0.125,2.3006987607520157
18,square,word_first,39,35,1,5,0.875,0.025,3.1103133649160615
18,triangle,image_first,37,39,3,1,0.975,0.075,3.399495455478509
18,triangle,simultaneous,35,38,4,2,0.95,0.10256410256410256,2.911929378217916
18,triangle,word_first,38,38,2,2,0.95,0.05,3.289707253902944
19,circle,image_first,39,37,0,3,0.925,0.01282051282051282,3.671137306199379
19,circle,simultaneous,38,35,2,5,0.875,0.05,2.7952030073274807
19,circle,word_first,39,37,1,3,0.925,0.025,3.39949545547851
19,square,image_first,39,38,1,2,0.95,0.025,3.6048176114915256
19,square,simultaneous,37,36,3,4,0.9,0.075,2.7210830364830567
19,square,word_first,39,36,1,4,0.9,0.025,3.241515550084655
19,triangle,image_first,39,37,1,2,0.9487179487179487,0.025,3.5925119503864016
19,triangle,simultaneous,35,38,5,2,0.95,0.125,2.7952030073274794
19,triangle,word_first,36,40,4,0,0.9875,0.1,3.5229542931495472
20,circle,image_first,38,39,2,1,0.975,0.05,3.6048176114915265
20,circle,simultaneous,32,39,6,1,0.975,0.15789473684210525,2.9631119522025875
20,circle,word_first,39,39,1,1,0.975,0.025,3.919927969080107
20,square,image_first,39,33,0,6,0.8461538461538461,0.01282051282051282,3.251682068047125
20,square,simultaneous,36,36,2,4,0.9,0.05263157894736842,2.9014078241828702
20,square,word_first,38,34,2,5,0.8717948717948718,0.05,2.7797702449449635
20,triangle,image_first,40,30,0,10,0.75,0.0125,2.9158924778010262
20,triangle,simultaneous,36,32,2,6,0.8421052631578947,0.05263157894736842,2.623004226300803
20,triangle,word_first,39,36,0,2,0.9473684210526315,0.01282051282051282,3.851462093899192
21,circle,image_first,39,37,1,2,0.9487179487179487,0.025,3.5925119503864016
21,circle,simultaneous,40,40,0,0,0.9875,0.0125,4.482805455209891
21,circle,word_first,39,40,1,0,0.9875,0.025,4.201366712145
21,square,image_first,39,40,1,0,0.9875,0.025,4.201366712145
21,square,simultaneous,38,38,2,2,0.95,0.05,3.289707253902944
21,square,word_first,40,36,0,4,0.9,0.0125,3.5229542931495454
21,triangle,image_first,38,39,1,1,0.975,0.02564102564102564,3.9090759814799414
